Name,Location,Contact,Rating,PRICE RANGE,CUISINES,MEALS,SPECIAL DIETS,FEATURES,id
Turmeric Kitchen London Paddington,"55 Westbourne Terrace, London W2 3UY England",+44 20 4542 4565,4.5,14.24 - 22.15,"Indian, European","Lunch, Dinner, Drinks",,,10
The Lounge Cafe,"Welford Centre 113 Chalkhill Road The Welford Centre, London HA9 9FX England",+44 7771 730946,5.0,1.99 - 7.96,British,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,11
Th@51,"51 Buckingham Gate, London SW1E 6AF England",+44 20 7834 6655,5.0,31.64 - 63.29,"Bar, International, Grill, Contemporary, Dining bars","Lunch, Dinner, Late Night, Drinks",,,12
Latitude Wimbledon,"138 Merton Road Wimbledon, London SW19 1EH England",+44 20 8542 6500,5.0,5.97 - 16.92,"European, International",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,13
Cord by Le Cordon Bleu,"85 Fleet Street, London EC4Y 1AE England",+44 20 3143 6365,4.0,25.31 - 72.79,"French, International, European","Lunch, Dinner, Drinks",,,14
Cafe Parisienne,"225 Lavender Hill, London SW11 1JR England",+44 20 7924 5523,5.0,3.95 - 11.87,"Cafe, European, British, International",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,15
Anilo's Kitchen,"6 Exmouth Market, London EC1R 4PX England",+44 20 7837 0909,5.0,,"Mediterranean, Turkish","Lunch, Dinner",,,16
Hiba Street,"10 Tottenham Street Between Goodge Street Station and Warren Tube Station, London W1T 4RD England",+44 20 7636 6735,5.0,4.97 - 14.93,"Lebanese, Mediterranean, Street Food, Middle Eastern",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,17
Colonel Saab,"193-197 High Holborn, London Holborn Town Hall, London WC1V 7BD England",+44 20 8016 6800,4.5,34.84 - 59.72,"Indian, International, Contemporary","Lunch, Dinner, Late Night, Drinks",,,18
Indian Lounge,"343 Gray's Inn Road Wc1 X8px, London WC1X 8PX England",+44 20 7837 8398,4.5,,"Indian, Asian, Healthy, Balti, Bangladeshi","Lunch, Dinner, Brunch, Late Night","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,19
Dobar,"324A Green Lanes, London N4 1BX England",+44 20 7686 3257,5.0,4.97 - 13.93,"Cafe, European, British",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,20
The Hampshire,"225-227 King Street Hammersmith, London W6 9JT England",+44 20 8748 3391,5.0,9.95 - 49.76,Indian,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,21
L'Angolo Bianco,"49 Crawford Street Marylebone, London W1H 1JZ England",+44 20 7724 5888,5.0,,"Italian, European, Cafe","Lunch, Breakfast","Vegetarian Friendly, Vegan Options",,22
The Gardeners Pub,"Southfields 268 Merton Road, London SW18 5JL England",+44 20 3601 2455,4.5,3.95 - 19.78,"Bar, British, Pub",,Vegetarian Friendly,,23
Vasinikó London,"7-9 Burleigh Street, London WC2E 7PW England",+44 20 7836 8628,5.0,10.95 - 34.84,"Italian, Northern-Italian, Central-Italian, Southern-Italian","Lunch, Dinner",,,24
Sitara,"784 Holloway Road Archway, London N19 3JH England",+44 20 7281 0648,5.0,,Indian,Dinner,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,25
Awesome Thai #Finchley,"826 High Road North Finchley, London N12 9RA England",+44 20 8492 8477,5.0,,"Asian, Thai","Dinner, Lunch",Vegetarian Friendly,,26
Jamon Jamon Belsize Park,"177 Haverstock Hill, London NW3 4QS England",+44 20 7483 4242,4.0,9.95 - 19.91,"Mediterranean, Spanish, International, Catalan",,"Vegetarian Friendly, Gluten Free Options",,27
Uzumaki London,"107 Great Russell Street, London WC1B 3NA England",+44 7746 998623,5.0,2.38 - 18.2,"Japanese, Asian, Japanese Fusion","Lunch, Dinner, Drinks",,,28
Gusto D'Oro,"Brownhill Road 8 Eros House, London SE6 2EF England",+44 20 3581 5312,5.0,7.91 - 15.82,"Italian, Mediterranean, Neapolitan, Campania, Central-Italian, Southern-Italian","Lunch, Dinner, Late Night, Drinks",,,29
The Clink Restaurant,"Brixton Jebb Avenue Brixton, London SW2 5XF England",+44 20 8678 9007,5.0,19.91 - 39.81,"European, British, Contemporary",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,30
The Drift,"110 Bishopsgate Salesforce Tower, London EC2N 4AY England",+44 20 3004 4969,4.5,7.96 - 24.88,"Bar, International, European, British",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,31
Double J's Cafe,"333 Euston Road, London NW1 3AD England",+44 20 7388 1212,5.0,,"Cafe, British","Breakfast, Lunch, Brunch","Vegetarian Friendly, Vegan Options",,32
Publiq.,"1 Palace Gate 1 D, London W8 5LS England",+44 20 3417 6768,5.0,29.86 - 64.69,"Bar, International, British, Dining bars","Lunch, Dinner, Late Night, Drinks",,,33
Turmeric Kitchen London Paddington,"55 Westbourne Terrace, London W2 3UY England",+44 20 4542 4565,4.5,14.24 - 22.15,"Indian, European","Lunch, Dinner, Drinks",,,34
The Lounge Cafe,"Welford Centre 113 Chalkhill Road The Welford Centre, London HA9 9FX England",+44 7771 730946,5.0,1.99 - 7.96,British,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,35
Th@51,"51 Buckingham Gate, London SW1E 6AF England",+44 20 7834 6655,5.0,31.64 - 63.29,"Bar, International, Grill, Contemporary, Dining bars","Lunch, Dinner, Late Night, Drinks",,,36
Latitude Wimbledon,"138 Merton Road Wimbledon, London SW19 1EH England",+44 20 8542 6500,5.0,5.97 - 16.92,"European, International",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,37
Cord by Le Cordon Bleu,"85 Fleet Street, London EC4Y 1AE England",+44 20 3143 6365,4.0,25.31 - 72.79,"French, International, European","Lunch, Dinner, Drinks",,,38
Cafe Parisienne,"225 Lavender Hill, London SW11 1JR England",+44 20 7924 5523,5.0,3.95 - 11.87,"Cafe, European, British, International",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,39
Anilo's Kitchen,"6 Exmouth Market, London EC1R 4PX England",+44 20 7837 0909,5.0,,"Mediterranean, Turkish","Lunch, Dinner",,,40
Hiba Street,"10 Tottenham Street Between Goodge Street Station and Warren Tube Station, London W1T 4RD England",+44 20 7636 6735,5.0,4.97 - 14.93,"Lebanese, Mediterranean, Street Food, Middle Eastern",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,41
Colonel Saab,"193-197 High Holborn, London Holborn Town Hall, London WC1V 7BD England",+44 20 8016 6800,4.5,34.84 - 59.72,"Indian, International, Contemporary","Lunch, Dinner, Late Night, Drinks",,,42
Indian Lounge,"343 Gray's Inn Road Wc1 X8px, London WC1X 8PX England",+44 20 7837 8398,4.5,,"Indian, Asian, Healthy, Balti, Bangladeshi","Lunch, Dinner, Brunch, Late Night","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,43
Dobar,"324A Green Lanes, London N4 1BX England",+44 20 7686 3257,5.0,4.97 - 13.93,"Cafe, European, British",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,44
The Hampshire,"225-227 King Street Hammersmith, London W6 9JT England",+44 20 8748 3391,5.0,9.95 - 49.76,Indian,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,45
L'Angolo Bianco,"49 Crawford Street Marylebone, London W1H 1JZ England",+44 20 7724 5888,5.0,,"Italian, European, Cafe","Lunch, Breakfast","Vegetarian Friendly, Vegan Options",,46
The Gardeners Pub,"Southfields 268 Merton Road, London SW18 5JL England",+44 20 3601 2455,4.5,3.95 - 19.78,"Bar, British, Pub",,Vegetarian Friendly,,47
The Hampshire,"225-227 King Street Hammersmith, London W6 9JT England",+44 20 8748 3391,5.0,9.95 - 49.76,Indian,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,48
Room 43 Bar & Kitchen,"43 Lavender Hill, London SW11 5QW England",+44 20 7924 3360,5.0,6.97 - 21.89,"Mediterranean, Middle Eastern, Bar, Persian, Pub",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,49
Zeret Kitchen,"216-218 Camberwell Road, London SE5 0ED England",+44 20 7701 8587,5.0,,"African, Ethiopian","Lunch, Dinner, Late Night","Vegetarian Friendly, Vegan Options, Gluten Free Options",,50
Fishcotheque,"79A Waterloo Road, London SE1 8UD England",+44 20 7803 9892,4.5,,"Seafood, Fast Food, British","Lunch, Dinner, Late Night",,"Takeout, Reservations, Seating, Highchairs Available, Wheelchair Accessible, Table Service",51
London Shell Co. Aboard The Prince Regent,"Sheldon Square Regent's Canal, London W2 6EP England",+44 7553 033636,5.0,44.78 - 99.53,"Seafood, British",,Gluten Free Options,,52
Gouqi London,"25-34 Cockspur Street, St James's Trafalgar Square, Opposite the Canadian Embassy, London SW1Y 5BN England",+44 20 3771 8886,5.0,31.64 - 79.12,"Chinese, Asian","Lunch, Dinner, Drinks",,,53
Everest Inn - Blackheath Village,"41 Montpelier Vale Blackheath, Village, London SE3 0TJ England",+44 20 8852 7872,4.5,19.91 - 48.77,"Indian, Asian, Nepali",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,54
Visconti Of Westminster,"Marsham Court Marsham Street, London SW1P 4LA England",+44 20 8191 1781,5.0,17.92 - 51.76,"Italian, Bar, Mediterranean, Pub, Central-Italian, Southern-Italian","Lunch, Dinner, Drinks",,,55
Bloomsbury Street Kitchen,"9-13 Bloomsbury Street, London WC1B 3QD England",+44 20 7666 2044,5.0,21.89 - 59.72,"Japanese, Mediterranean, European, Central-Italian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,56
The Jasmine by Spice Nouv-Oh!,"331 The Broadway Bexleyheath, London DA6 8DT England",+44 20 8616 0880,5.0,,"Indian, Healthy, Fusion",Dinner,"Halal, Vegetarian Friendly, Vegan Options, Gluten Free Options",,57
Pizza Union Holborn,"1 New Oxford Street, London WC1A 1NU England",Website,5.0,,"Italian, Pizza, Fast Food","Lunch, Dinner",,,58
The India - Best of the City,"Cannon Street 21 College Hill, London EC4R 2RP England",+44 20 7248 5855,5.0,9.95 - 29.86,"Indian, Asian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,59
Bocas,"180 St. John Street, London EC1V 4JY England",+44 7474 734052,5.0,,"Argentinean, South American, Bar, Spanish, Pub, Fusion","Lunch, Dinner, Brunch, Late Night, Drinks",,"Reservations, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Table Service, Non-smoking restaurants",60
Lord Clyde Southwark,"London, SE1 1ER 27 Clennam Street, London SE1 1ER England",+44 20 7407 5643,5.0,,"Bar, British, Pub","Lunch, Dinner, Brunch, Drinks",,"Reservations, Seating, Serves Alcohol, Television",61
Smith & Whistle,"The Park Lane 112 Piccadilly, London W1J 7BX England",+44 20 7499 6321,4.5,7.96 - 11.95,"Bar, British",,"Vegetarian Friendly, Vegan Options",,62
Moira Restaurant,"2 Mastmaker Road, London E14 9AW England",+44 20 7538 9001,5.0,4.97 - 17.92,"Mediterranean, Turkish, Middle Eastern",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,63
Cilantro,"244 Upper Richmond Road, London SW15 6TG England",+442033439317,5.0,,Indian,"Dinner, Brunch",,"Reservations, Delivery, Takeout, Seating, Street Parking, Serves Alcohol, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Family style, Non-smoking restaurants",64
Chez Abir Restaurant,"34 Blythe Road, London W14 0HA England",+44 20 7603 3241,5.0,6.97 - 14.93,"Lebanese, Mediterranean, Middle Eastern",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,65
Cafe de Provence,"14 Drury Lane Covent Garden, London WC2B 5RB England",+44 20 7497 2757,5.0,,"Cafe, European, British, Healthy","Breakfast, Lunch, Brunch","Vegetarian Friendly, Vegan Options, Gluten Free Options",,66
Wild Thyme,"2B Thorpebank Road, London W12 0PQ England",+44 20 8354 9321,5.0,4.97 - 14.93,"Cafe, European, British, Healthy",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,67
Magic Falafel,"Unit 312-313, Camden Market, London NW1 8AH England",+44 7482 646499,5.0,,"Fast Food, Mediterranean, Middle Eastern","Lunch, Dinner, Brunch","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,68
Namaste @ OMNOM,"116N Upper Street Islington Square, London N1 1QP England",+44 7305 225501,5.0,7.96 - 24.88,Street Food,,"Vegetarian Friendly, Vegan Options",,69
Jamon Jamon Belsize Park,"177 Haverstock Hill, London NW3 4QS England",+44 20 7483 4242,4.0,9.95 - 19.91,"Mediterranean, Spanish, International, Catalan",,"Vegetarian Friendly, Gluten Free Options",,70
Revolution Bar Clapham High Street,"95-97 Clapham High Street, London SW4 7TB England",+44 20 7720 6642,4.5,4.97 - 13.93,"Bar, British",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,71
Oi Vita Pizzeria,"67 Newington Green Road, London N1 4QU England",+44 20 3302 8700,5.0,3.98 - 16.92,"Italian, Pizza, Mediterranean, European, Neapolitan, Campania, Southern-Italian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,72
Taste Of Jaipur,"74 Brick Lane, London E1 6RL England",+44 20 3149 9875,5.0,,"Indian, Bar, Asian, Contemporary, Balti","Lunch, Dinner, Late Night, Drinks",,"Reservations, Takeout, Private Dining, Seating, Parking Available, Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Discover, Accepts Credit Cards, Table Service, Beach, BYOB, Family style, Non-smoking restaurants",73
The Hayden,"65 Westbourne Grove, London W2 4UJ England",+44 20 7229 2233,5.0,,"Bar, British","Lunch, Dinner, Brunch, Breakfast","Vegan Options, Gluten Free Options",,74
Mamalu Restaurant,"314 Earls Court Road, London SW5 9BQ England",+44 20 3870 5594,4.0,3.95 - 52.22,"Italian, European, Neapolitan, Campania, Northern-Italian, Central-Italian, Southern-Italian","Dinner, Late Night, Drinks",,,75
Turtle Bay - Brixton,"382-384 Brixton Road, London SW9 7AW England",+44 20 7737 2264,4.5,5.97 - 13.93,"Caribbean, Jamaican",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,76
Bar 61 Restaurant,"61A Streatham Hill, London SW2 4TX England",+44 20 8671 0444,5.0,15.03 - 27.69,"Mediterranean, European, Spanish",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,77
Maharaja of India,"19A Charing Cross Road, London WC2H 0ET England",+44 20 3091 3500,4.5,14.93 - 29.86,"Indian, Asian, Bar, Pub, Beer restaurants",,Vegetarian Friendly,,78
Tattu London,"The Now Building Rooftop, Outernet, Denmark Place, London WC2H 0LA England",+44 20 3778 1985,4.5,,"Chinese, Japanese, Asian, International","Lunch, Dinner, Drinks",,"Wine and Beer, Gift Cards Available",79
Liman Restaurant,"60 Penton Street The Angel, London N1 9PZ England",+44 20 3583 6442,5.0,9.95 - 22.89,"Mediterranean, European, Turkish, Middle Eastern",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,80
Sanjugo Shoreditch,"35 Scrutton Street Shoreditch, London EC2A 4HU England",+44 20 7613 3225,5.0,24.88 - 54.74,"Japanese, Seafood, Sushi, Asian",,"Vegetarian Friendly, Gluten Free Options, Vegan Options",,81
Knife Restaurant,"160 Clapham Park Road, London SW4 7DE England",+44 20 7627 6505,5.0,9.95 - 29.86,"Steakhouse, British",,Gluten Free Options,,82
Oliveira Kitchen Shoreditch,"80-84 Paul Street, London EC2A 4NE England",+44 20 7729 0481,5.0,24.88 - 59.72,"Healthy, International, European",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,83
MAP Maison,"321 Kingsland Road, London E8 4DL England",+44 20 7241 1441,5.0,5.97 - 14.93,International,,Vegan Options,,84
Flour To The People Pizza!,"573 Battersea Park Road, London SW11 3BJ England",+44 20 7228 5672,5.0,7.96 - 13.93,Pizza,,"Vegan Options, Gluten Free Options",,85
"Indian Express, West Kensington","3 North End Parade West Kensington, London W14 0SJ England",+44 20 7610 1777,4.5,,"Indian, Asian, Balti","Lunch, Dinner, Late Night","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,86
Bustronome,"Coach Bay 40B, Victoria Embankment, London WC2N 6PB England",+44 20 3744 5554,5.0,64.69 - 149.29,"French, European, Contemporary, Fusion",,Vegetarian Friendly,,87
The Chelsea Corner,"451 Fulham Road, London SW10 9UZ England",+44 20 3055 0088,5.0,4.97 - 25.88,"Italian, Pizza, Mediterranean",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,88
Mosaic,"60 Upper Thames Street The Westin London City, London EC4V 3AD England",+44 20 3988 0143,5.0,19.78 - 39.56,"Healthy, International","Breakfast, Lunch, Dinner, Drinks",,,89
Da Mario Covent Garden,"63 Endell Street Covent Garden, London WC2H 9AJ England",+44 20 7240 3632,4.5,24.88 - 49.76,"Italian, Mediterranean, European, Healthy",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,90
Monkey Temple,"92 Askew Road, London W12 9BL England",+44 20 8743 4597,5.0,9.95 - 24.88,"Indian, Asian, Nepali",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,91
Mio Restaurant,"58 Great Peter Street, London SW1P 2HD England",+44 20 7222 0058,5.0,,"Italian, Pizza","Lunch, Dinner","Vegetarian Friendly, Vegan Options, Gluten Free Options",,92
Sushi Tetsu,"12 Jerusalem Passage, London EC1V 4JP England",+44 20 3217 0090,5.0,,"Japanese, Sushi, Asian",Dinner,Gluten Free Options,,93
Vasinikó London,"7-9 Burleigh Street, London WC2E 7PW England",+44 20 7836 8628,5.0,10.95 - 34.84,"Italian, Northern-Italian, Central-Italian, Southern-Italian","Lunch, Dinner",,,94
Devran,"170-172 Stoke Newington Road, London N16 7UY England",+44 20 7254 2525,4.5,,"Turkish, Mediterranean, Grill, Middle Eastern","Lunch, Dinner, Drinks","Vegetarian Friendly, Halal",,95
The Banc,"261-263 West Green Road, London N15 3BH England",+44 20 8888 8898,4.5,19.91 - 49.76,"Steakhouse, Mediterranean, Middle Eastern, Grill, Japanese Fusion",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,96
Makars Gourmet Mash Bar (London),"190 Shaftesbury Avenue, London WC2H 8JL England",+44 131 226 1178,5.0,,"British, Scottish",Dinner,,,97
Wassouf Lounge,"4-5 North End Parade West Kensington, London W14 0SJ England",+44 20 7348 3697,5.0,4.97 - 24.88,"Lebanese, Middle Eastern, Mediterranean",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,98
taNgia,"108 Mitcham Road Tooting Broadway, London SW17 9NG England",+44 20 3774 0779,5.0,9.95 - 24.88,Mediterranean,,"Vegetarian Friendly, Vegan Options, Halal",,99
The Avocado Show - London Princes Street,"6 Princes Street, London W1B 2LG England",+44 7594 561103,4.5,17.92 - 24.88,"International, European, Contemporary, Healthy",,"Vegetarian Friendly, Vegan Options",,100
The Bermondsey Bierkeller,"2/4 Tooley Street, London SE1 2SY England",+44 20 7403 6333,5.0,,"American, German, Pizza, Beer restaurants","Lunch, Dinner, Drinks",,"Highchairs Available, Wine and Beer, Accepts Credit Cards, Live Music, Non-smoking restaurants",101
Rock Star Sushi Bar,"Merton Abbey Mills - Watermill Way Unit 5, The Long Shop, London SW19 2RD England",+44 7473 100008,5.0,29.86 - 59.72,Sushi,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,102
Tower Mangal,"55-57 Tower Bridge Road SE1 4TL, London England",+44 20 7357 6853,5.0,,"Mediterranean, Turkish, Healthy, Middle Eastern","Lunch, Dinner, Late Night, Drinks","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,103
Anokhi Indian Fine Dining Restaurant,"757 Green Lanes Winchmore Hill, London N21 3SA England",+44 20 8360 4144,5.0,6.97 - 19.91,"Indian, Asian, Healthy",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,104
Steak And Lobster Warren Street,"6-7 Warren Street Radisson Blu Edwardian Grafton Hotel, London W1T 5LB England",+44 20 7666 5430,4.5,17.92 - 39.81,"Steakhouse, Seafood, European, British",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,105
Chojo,"16 Garway Road, London W2 4NH England",+44 7498 285072,5.0,14.93 - 89.57,"Chinese, Taiwanese, Street Food",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,106
Alcedo Bistro & Bar,"237 Holloway Road, London N7 8HG England",+44 20 7998 7672,5.0,5.97 - 27.87,"European, British",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,107
Anjanaas,"57-59 Willesden Lane Kilburn, London NW6 7RL England",+44 20 7624 1713,4.5,,"Indian, Asian","Lunch, Dinner","Vegetarian Friendly, Vegan Options, Gluten Free Options",,108
Tanakatsu,"10 Wakley Street, London EC1V 7LT England",+44 121 389 4111,5.0,10.95 - 14.93,"Japanese, Sushi, Asian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,109
Home SW15,"146 Upper Richmond Road, London SW15 2SW England",+44 20 8780 0592,5.0,9.95 - 31.85,"British, Healthy, European",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,110
Hanwoo Village Korean BBQ Restaurant,"18-19 St. Albans Place Hanwoo Village Korean bbq restaurant, London N1 0NX England",+44 20 7288 1123,4.5,,"Asian, Korean, Grill, Healthy",Lunch,,"Takeout, Outdoor Seating, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Family style",111
The English Rose Cafe,"4 Lower Grosvenor Place Victoria, London SW1W 0EJ England",+44 20 7976 6280,4.5,4.97 - 11.95,"Cafe, British",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,112
Filika Restaurant,"62 High Street Wanstead Wanstead, London E11 2RJ England",+44 20 8530 1333,5.0,9.95 - 24.88,"Mediterranean, Seafood, Middle Eastern, International",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,113
Osteria Romana,"3-4 Park Close, Knightsbridge Knightsbridge, London SW1X 7PQ England",+44 20 7584 5819,4.5,25.88 - 39.81,"Italian, Romana, Pizza",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,114
Fine Foods,"218 Long Lane, London SE1 4QB England",+44 20 7403 7513,5.0,,"Italian, Mediterranean, European","Breakfast, Lunch, Dinner","Vegetarian Friendly, Vegan Options, Gluten Free Options",,115
Cilantro,"244 Upper Richmond Road, London SW15 6TG England",+442033439317,5.0,,Indian,"Dinner, Brunch",,"Reservations, Delivery, Takeout, Seating, Street Parking, Serves Alcohol, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Family style, Non-smoking restaurants",116
The Library at County Hall,"County Hall Westminster Bridge Road Flats And Block Names, London SE1 7PB England",+44 20 7902 8000,4.5,43.51 - 59.33,British,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,117
Chimichurris,"132 Southwark Bridge Road, London SE1 0DG England",+44 20 7928 7414,5.0,13.93 - 33.84,"Steakhouse, Barbecue, Argentinean, Grill",,"Vegetarian Friendly, Gluten Free Options",,118
Fifth Element,"1 Valentine Row, London SE1 8QW England",+447462461100,5.0,,"Bar, Cafe, International, Deli, Pub, Diner","Lunch, Dinner",,Reservations,119
The Avocado Show - London Princes Street,"6 Princes Street, London W1B 2LG England",+44 7594 561103,4.5,17.92 - 24.88,"International, European, Contemporary, Healthy",,"Vegetarian Friendly, Vegan Options",,120
Memories of India Kensington,"18 Gloucester Road Kensington, London SW7 4RB England",+44 20 7589 6450,4.5,17.92 - 28.86,"Indian, Asian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,121
Trattoria Raffaele,"94 Sydenham Road, London SE26 5JX England",+44 20 8778 6262,5.0,14.93 - 29.86,"Italian, Pizza, Mediterranean, Seafood, Romana, Lazio, Central-Italian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,122
The India - Best of the City,"Cannon Street 21 College Hill, London EC4R 2RP England",+44 20 7248 5855,5.0,9.95 - 29.86,"Indian, Asian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,123
Morso Abbey Road,"130 Boundary Road, London NW8 0RH England",+44 20 7624 7412,5.0,9.95 - 29.86,"Italian, Bar, Mediterranean, European, Contemporary",,"Vegetarian Friendly, Gluten Free Options, Vegan Options",,124
Limin',"107B Commercial Street, London E1 6BG England",+44 7812 334549,4.5,3.98 - 11.95,,"Lunch, Dinner, Brunch, Drinks","Vegetarian Friendly, Vegan Options",,125
Yuu Kitchen,"29 Commercial Street, London E1 6NE England",02073770411,4.5,14.93 - 24.88,"Taiwanese, Japanese, Asian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,126
KataKata,"132 Brixton Hill, London SW2 1RS England",+44 7534 329883,5.0,3.98 - 7.96,"African, Cafe, Healthy",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,127
Buenos Aires Argentine Steakhouse,"32 Turnham Green Terrace, London W4 1QP England",+44 20 8747 8772,4.5,24.88 - 49.76,"Steakhouse, Grill, Argentinean",,Gluten Free Options,,128
Llerena. Ibérico Tapas Bar,"167 Upper Street, London N1 1US England",+44 20 7704 9977,5.0,14.93 - 29.86,"Mediterranean, European, Spanish",,"Vegetarian Friendly, Gluten Free Options",,129
Bella Italia,"108/110 Queensway, London W2 3RR England",+44 20 3004 5959,4.5,6.97 - 15.92,Italian,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,130
Pentolina,"71 Blythe Road, London W14 0HP England",+44 20 3010 0091,4.5,,"Italian, Mediterranean, European","Lunch, Dinner","Vegetarian Friendly, Vegan Options, Gluten Free Options",,131
